ID,Name,Age,Nationality,Overall,Club,Preferred Foot,Weak Foot,Skill Moves,Position,Height(cm),Weight(kg),Kit Number
209658,L. Goretzka,27,Germany,87,FC Bayern München,Right,4,3,SUB,189,82,8
212198,Bruno Fernandes,27,Portugal,86,Manchester United,Right,3,4,LCM,179,69,8
224334,M. Acuña,30,Argentina,85,Sevilla FC,Left,3,3,LB,172,69,19
192985,K. De Bruyne,31,Belgium,91,Manchester City,Right,5,4,RCM,181,70,17
224232,N. Barella,25,Italy,86,Inter,Right,3,3,RCM,172,68,23
212622,J. Kimmich,27,Germany,89,FC Bayern München,Right,4,3,RDM,177,75,6
197445,D. Alaba,30,Austria,86,Real Madrid CF,Left,4,3,LCB,180,78,4
187961,22 Paulinho,32,Brazil,83,Al Ahli,Right,4,4,LCM,183,80,15
208333,E. Can,28,Germany,82,Borussia Dortmund,Right,4,3,SUB,186,86,23
210514,João Cancelo,28,Portugal,88,Manchester City,Right,4,4,LB,182,74,7
228251,L. Pellegrini,26,Italy,84,Roma,Right,4,3,RCM,186,77,7
177003,L. Modrić,36,Croatia,88,Real Madrid CF,Right,4,4,RCM,172,66,10
223848,S. Milinković-Savić,27,Serbia,86,Lazio,Right,5,4,RCM,191,76,21
225193,Merino,26,Spain,83,Real Sociedad,Left,3,3,LCM,189,83,8
226161,Marcos Llorente,27,Spain,84,Atlético de Madrid,Right,4,3,RCM,184,74,14
212616,R. De Paul,28,Argentina,84,Atlético de Madrid,Right,3,4,SUB,180,70,5
181458,I. Perišić,33,Croatia,84,Tottenham Hotspur,Right,5,4,SUB,186,80,14
228702,F. de Jong,25,Netherlands,87,FC Barcelona,Right,3,4,RCM,180,74,21
194765,A. Griezmann,31,France,83,Atlético de Madrid,Left,3,4,RS,176,73,8
193082,J. Cuadrado,34,Colombia,83,Juventus,Right,3,5,RB,179,72,11
208574,F. Kostić,29,Serbia,85,Eintracht Frankfurt,Left,2,3,LM,184,84,10
231281,T. Alexander-Arnold,23,United Kingdom,87,Liverpool,Right,4,3,RB,180,69,66
176580,L. Suárez,35,Uruguay,84,Club Nacional de Football,Right,4,3,LS,182,86,9
235212,A. Hakimi,23,Morocco,84,Paris Saint-Germain,Right,4,4,RWB,181,73,2
216352,M. Brozović,29,Croatia,86,Inter,Right,4,3,CDM,181,68,77
209331,M. Salah,30,Egypt,90,Liverpool,Left,3,4,RW,175,71,11
241096,S. Tonali,22,Italy,84,AC Milan,Right,4,3,RCM,181,79,8
189509,Thiago,31,Spain,86,Liverpool,Right,3,5,LCM,174,70,6
238074,R. James,22,United Kingdom,84,Chelsea,Right,3,3,RWB,178,87,24
189332,Jordi Alba,33,Spain,85,FC Barcelona,Left,3,3,LB,170,68,18
213565,T. Lemar,26,France,83,Atlético de Madrid,Left,3,4,SUB,171,63,11
230767,Renato Sanches,24,Portugal,80,Paris Saint-Germain,Right,4,4,SUB,176,70,11
